samples_per_pixel,seed,mean_radiance,mean_pixel_estimator_variance,complete_paths,partial_paths,collision_events,tracking_events
32,42,0.421689,0.0170125,18432,0,10201,31780
64,42,0.415313,0.00831759,36864,0,20238,63758
